Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,1700,343,41,51819.507812,0.000791
2,1000,0.8,0.2,50.0,1000,1678,324,49,51344.019531,0.000954
3,1000,0.8,0.2,50.0,1000,1686,330,44,51434.656250,0.000855
4,1000,0.8,0.2,50.0,1000,1651,331,46,50168.734375,0.000917
5,1000,0.8,0.2,50.0,1000,1663,335,54,50529.246094,0.001069
6,1000,0.8,0.2,50.0,1000,1643,350,47,50249.804688,0.000935
7,1000,0.8,0.2,50.0,1000,1643,322,40,49821.964844,0.000803
8,1000,0.8,0.2,50.0,1000,1653,347,49,50356.695312,0.000973
9,1000,0.8,0.2,50.0,1000,1622,334,41,49014.289062,0.000836
10,1000,0.8,0.2,50.0,1000,1610,337,48,48873.246094,0.000982
