Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50.0,1000,13698,5447,503,50709.628906,0.009919
2,1000,0.6,0.2,50.0,1000,13057,5180,3,49729.738281,0.000060
3,1000,0.6,0.2,50.0,1000,13356,5348,3,51047.085938,0.000059
4,1000,0.6,0.2,50.0,1000,12113,4864,1,50194.867188,0.000020
5,1000,0.6,0.2,50.0,1000,13655,5518,5,48548.050781,0.000103
6,1000,0.6,0.2,50.0,1000,10579,4240,1,50027.867188,0.000020
7,1000,0.6,0.2,50.0,1000,11321,4546,4,48304.957031,0.000083
8,1000,0.6,0.2,50.0,1000,12411,4949,1,50697.207031,0.000020
9,1000,0.6,0.2,50.0,1000,10541,4152,2,49998.714844,0.000040
10,1000,0.6,0.2,50.0,1000,12296,4915,2,49249.769531,0.000041
