Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,55023,9115,1,51142.093750,0.000020
2,1000,0.8,0.2,50.0,1000,54479,9010,0,50423.953125,0.000000
3,1000,0.8,0.2,50.0,1000,55368,8863,2,49417.343750,0.000040
4,1000,0.8,0.2,50.0,1000,54792,8886,0,49744.007812,0.000000
5,1000,0.8,0.2,50.0,1000,51771,8381,3,47412.468750,0.000063
6,1000,0.8,0.2,50.0,1000,55065,8664,253,49874.621094,0.005073
7,1000,0.8,0.2,50.0,1000,54110,8652,2,48858.453125,0.000041
8,1000,0.8,0.2,50.0,1000,54085,8795,9,49432.195312,0.000182
9,1000,0.8,0.2,50.0,1000,54948,8730,2,49764.796875,0.000040
10,1000,0.8,0.2,50.0,1000,55298,8900,8,50598.398438,0.000158
