Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,5271,4186,978,50295.042969,0.019445
2,1000,0.2,0.2,50.0,1000,7884,6297,2,49094.292969,0.000041
3,1000,0.2,0.2,50.0,1000,6581,5223,1,50126.535156,0.000020
4,1000,0.2,0.2,50.0,1000,7435,5984,944,48937.828125,0.019290
5,1000,0.2,0.2,50.0,1000,8051,6462,5,52417.695312,0.000095
6,1000,0.2,0.2,50.0,1000,6667,5368,987,50317.796875,0.019615
7,1000,0.2,0.2,50.0,1000,5522,4422,994,52137.140625,0.019065
8,1000,0.2,0.2,50.0,1000,7863,6358,7,51676.765625,0.000135
9,1000,0.2,0.2,50.0,1000,6442,5104,7,49299.285156,0.000142
10,1000,0.2,0.2,50.0,1000,6646,5366,3,51213.605469,0.000059
