Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50.0,1000,4324,3894,996,50600.515625,0.019684
2,1000,0.1,0.2,50.0,1000,7297,6591,2,49587.882812,0.000040
3,1000,0.1,0.2,50.0,1000,6030,5422,1,50804.640625,0.000020
4,1000,0.1,0.2,50.0,1000,3762,3393,996,50866.652344,0.019581
5,1000,0.1,0.2,50.0,1000,7202,6496,5,51419.074219,0.000097
6,1000,0.1,0.2,50.0,1000,3881,3511,997,50785.187500,0.019632
7,1000,0.1,0.2,50.0,1000,5931,5327,10,50008.011719,0.000200
8,1000,0.1,0.2,50.0,1000,6801,6128,6,51355.308594,0.000117
9,1000,0.1,0.2,50.0,1000,7934,7077,7,51456.750000,0.000136
10,1000,0.1,0.2,50.0,1000,4645,4139,985,50038.257812,0.019685
