Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,4551,3625,995,48905.949219,0.020345
2,1000,0.2,0.2,50.0,1000,10918,8808,2,51357.023438,0.000039
3,1000,0.2,0.2,50.0,1000,10391,8271,1,48662.820312,0.000021
4,1000,0.2,0.2,50.0,1000,3989,3189,990,50226.625000,0.019711
5,1000,0.2,0.2,50.0,1000,10683,8498,5,50654.121094,0.000099
6,1000,0.2,0.2,50.0,1000,4476,3580,994,53506.171875,0.018577
7,1000,0.2,0.2,50.0,1000,6502,4990,897,50225.152344,0.017860
8,1000,0.2,0.2,50.0,1000,10687,8576,7,50481.664062,0.000139
9,1000,0.2,0.2,50.0,1000,10838,8499,7,49946.011719,0.000140
10,1000,0.2,0.2,50.0,1000,10543,8409,3,49382.589844,0.000061
