Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50.0,1000,3436,3084,998,49703.503906,0.020079
2,1000,0.1,0.2,50.0,1000,9442,8467,2,50166.484375,0.000040
3,1000,0.1,0.2,50.0,1000,9205,8236,1,49368.472656,0.000020
4,1000,0.1,0.2,50.0,1000,3367,3049,998,50756.273438,0.019663
5,1000,0.1,0.2,50.0,1000,9114,8211,5,49270.917969,0.000101
6,1000,0.1,0.2,50.0,1000,3411,3083,996,49576.566406,0.020090
7,1000,0.1,0.2,50.0,1000,9373,8364,10,49910.589844,0.000200
8,1000,0.1,0.2,50.0,1000,9161,8199,6,49630.593750,0.000121
9,1000,0.1,0.2,50.0,1000,9572,8526,7,51291.328125,0.000136
10,1000,0.1,0.2,50.0,1000,3450,3112,998,49486.261719,0.020167
