Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50.0,1000,74183,8828,142,49102.347656,0.002892
2,1000,0.6,0.2,50.0,1000,73324,8715,157,48673.312500,0.003226
3,1000,0.6,0.2,50.0,1000,79049,9190,122,50918.523438,0.002396
4,1000,0.6,0.2,50.0,1000,75652,8838,147,49279.156250,0.002983
5,1000,0.6,0.2,50.0,1000,78644,9239,144,51508.070312,0.002796
6,1000,0.6,0.2,50.0,1000,75259,8928,147,50355.203125,0.002919
7,1000,0.6,0.2,50.0,1000,75027,9059,182,51034.628906,0.003566
8,1000,0.6,0.2,50.0,1000,72453,8425,138,47750.574219,0.002890
9,1000,0.6,0.2,50.0,1000,73457,8779,152,49351.074219,0.003080
10,1000,0.6,0.2,50.0,1000,74917,8733,142,49216.167969,0.002885
