Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,15288,3073,1,50289.183594,0.000020
2,1000,0.8,0.2,50.0,1000,14980,3023,0,49727.855469,0.000000
3,1000,0.8,0.2,50.0,1000,15112,3025,10,49911.191406,0.000200
4,1000,0.8,0.2,50.0,1000,15160,3141,0,51036.820312,0.000000
5,1000,0.8,0.2,50.0,1000,15807,3118,3,50869.476562,0.000059
6,1000,0.8,0.2,50.0,1000,16493,3329,233,52409.429688,0.004446
7,1000,0.8,0.2,50.0,1000,14932,2947,2,48461.246094,0.000041
8,1000,0.8,0.2,50.0,1000,15118,3074,10,50570.675781,0.000198
9,1000,0.8,0.2,50.0,1000,15519,3127,2,50643.636719,0.000039
10,1000,0.8,0.2,50.0,1000,14584,2926,9,49681.238281,0.000181
