Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50.0,1000,19271,8547,224,49695.140625,0.004507
2,1000,0.4,0.2,50.0,1000,17322,8830,4,49139.527344,0.000081
3,1000,0.4,0.2,50.0,1000,18511,9018,2,50488.894531,0.000040
4,1000,0.4,0.2,50.0,1000,17914,8955,4,49860.453125,0.000080
5,1000,0.4,0.2,50.0,1000,17269,8974,2,50141.851562,0.000040
6,1000,0.4,0.2,50.0,1000,19124,9210,8,51908.808594,0.000154
7,1000,0.4,0.2,50.0,1000,13573,6930,823,50142.703125,0.016413
8,1000,0.4,0.2,50.0,1000,18427,9008,4,50578.515625,0.000079
9,1000,0.4,0.2,50.0,1000,16616,8968,3,49862.160156,0.000060
10,1000,0.4,0.2,50.0,1000,18931,8860,9,49995.683594,0.000180
