Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,190378,8916,651,51708.667969,0.012590
2,1000,0.8,0.2,50.0,1000,317004,8568,465,49566.265625,0.009381
3,1000,0.8,0.2,50.0,1000,285568,8474,525,50039.578125,0.010492
4,1000,0.8,0.2,50.0,1000,200240,8242,627,49742.484375,0.012605
5,1000,0.8,0.2,50.0,1000,379699,8772,412,50050.796875,0.008232
6,1000,0.8,0.2,50.0,1000,340959,8659,463,50614.023438,0.009148
7,1000,0.8,0.2,50.0,1000,274768,8585,525,50318.316406,0.010434
8,1000,0.8,0.2,50.0,1000,319871,8497,473,49251.210938,0.009604
9,1000,0.8,0.2,50.0,1000,354269,8530,449,48889.097656,0.009184
10,1000,0.8,0.2,50.0,1000,362480,8969,426,50392.515625,0.008454
