Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,6722,1378,122,51214.687500,0.002382
2,1000,0.8,0.2,50.0,1000,14104,2831,202,49844.871094,0.004053
3,1000,0.8,0.2,50.0,1000,9721,1919,211,51468.128906,0.004100
4,1000,0.8,0.2,50.0,1000,7500,1566,226,49273.785156,0.004587
5,1000,0.8,0.2,50.0,1000,14446,2841,198,49064.886719,0.004035
6,1000,0.8,0.2,50.0,1000,8260,1680,207,50400.402344,0.004107
7,1000,0.8,0.2,50.0,1000,7783,1517,144,49674.765625,0.002899
8,1000,0.8,0.2,50.0,1000,10556,2132,209,50708.386719,0.004122
9,1000,0.8,0.2,50.0,1000,4776,924,102,49425.222656,0.002064
10,1000,0.8,0.2,50.0,1000,6982,1418,101,50496.945312,0.002000
