Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,537,97,12,50908.226562,0.000236
2,1000,0.8,0.2,50.0,1000,332,67,10,49247.375000,0.000203
3,1000,0.8,0.2,50.0,1000,475,100,10,50906.730469,0.000196
4,1000,0.8,0.2,50.0,1000,501,109,10,51551.230469,0.000194
5,1000,0.8,0.2,50.0,1000,330,72,12,49514.644531,0.000242
6,1000,0.8,0.2,50.0,1000,304,72,15,49788.238281,0.000301
7,1000,0.8,0.2,50.0,1000,289,62,11,48376.757812,0.000227
8,1000,0.8,0.2,50.0,1000,300,65,10,50201.027344,0.000199
9,1000,0.8,0.2,50.0,1000,263,51,12,47927.734375,0.000250
10,1000,0.8,0.2,50.0,1000,437,98,10,50000.417969,0.000200
