Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,6037,3035,999,49808.570312,0.020057
2,1000,0.5,0.2,50.0,1000,6210,3100,997,48512.714844,0.020551
3,1000,0.5,0.2,50.0,1000,6486,3200,997,50571.328125,0.019715
4,1000,0.5,0.2,50.0,1000,5923,3005,997,49870.636719,0.019992
5,1000,0.5,0.2,50.0,1000,6346,3159,998,50670.769531,0.019696
6,1000,0.5,0.2,50.0,1000,6072,3079,998,50270.929688,0.019852
7,1000,0.5,0.2,50.0,1000,6431,3171,997,49690.398438,0.020064
8,1000,0.5,0.2,50.0,1000,6203,3106,998,50659.261719,0.019700
9,1000,0.5,0.2,50.0,1000,6511,3248,999,49660.960938,0.020116
10,1000,0.5,0.2,50.0,1000,6248,3109,997,49605.921875,0.020098
