Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,111220,8718,641,50603.082031,0.012667
2,1000,0.8,0.2,50.0,1000,37004,7482,356,49923.285156,0.007131
3,1000,0.8,0.2,50.0,1000,112980,8221,525,48615.460938,0.010799
4,1000,0.8,0.2,50.0,1000,108470,8375,509,50449.953125,0.010089
5,1000,0.8,0.2,50.0,1000,129095,8711,409,49677.335938,0.008233
6,1000,0.8,0.2,50.0,1000,54383,8717,387,50928.550781,0.007599
7,1000,0.8,0.2,50.0,1000,110455,8646,483,50593.164062,0.009547
8,1000,0.8,0.2,50.0,1000,106997,8534,476,49456.718750,0.009625
9,1000,0.8,0.2,50.0,1000,103797,8708,314,49887.175781,0.006294
10,1000,0.8,0.2,50.0,1000,67791,8712,363,49124.171875,0.007389
