Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,202517,7961,344,48761.632812,0.007055
2,1000,0.5,0.2,50.0,1000,260274,8835,182,48990.972656,0.003715
3,1000,0.5,0.2,50.0,1000,262999,8737,195,48653.367188,0.004008
4,1000,0.5,0.2,50.0,1000,231280,8469,306,49528.703125,0.006178
5,1000,0.5,0.2,50.0,1000,259990,8927,226,49978.664062,0.004522
6,1000,0.5,0.2,50.0,1000,254368,9036,264,51352.875000,0.005141
7,1000,0.5,0.2,50.0,1000,269428,8981,182,50180.710938,0.003627
8,1000,0.5,0.2,50.0,1000,204197,7984,358,48489.058594,0.007383
9,1000,0.5,0.2,50.0,1000,192515,7951,409,50451.433594,0.008107
10,1000,0.5,0.2,50.0,1000,239011,8564,241,49497.257812,0.004869
