Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,372637,8156,344,49835.074219,0.006903
2,1000,0.5,0.2,50.0,1000,511163,8820,181,48903.976562,0.003701
3,1000,0.5,0.2,50.0,1000,541056,9149,198,50959.542969,0.003885
4,1000,0.5,0.2,50.0,1000,416368,8395,305,49135.500000,0.006207
5,1000,0.5,0.2,50.0,1000,506122,9102,227,50960.859375,0.004454
6,1000,0.5,0.2,50.0,1000,457156,8715,262,49694.378906,0.005272
7,1000,0.5,0.2,50.0,1000,531290,9062,184,50674.472656,0.003631
8,1000,0.5,0.2,50.0,1000,360078,7903,357,48027.222656,0.007433
9,1000,0.5,0.2,50.0,1000,325736,7929,409,50332.250000,0.008126
10,1000,0.5,0.2,50.0,1000,465442,8667,244,50092.093750,0.004871
