Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,12766,6381,834,49430.835938,0.016872
2,1000,0.5,0.2,50.0,1000,14093,6991,867,48933.519531,0.017718
3,1000,0.5,0.2,50.0,1000,12902,6378,893,49299.574219,0.018114
4,1000,0.5,0.2,50.0,1000,13960,7014,878,49919.167969,0.017588
5,1000,0.5,0.2,50.0,1000,12898,6431,869,49433.335938,0.017579
6,1000,0.5,0.2,50.0,1000,12898,6470,920,50862.238281,0.018088
7,1000,0.5,0.2,50.0,1000,12657,6302,851,50028.429688,0.017010
8,1000,0.5,0.2,50.0,1000,12991,6457,915,50571.433594,0.018093
9,1000,0.5,0.2,50.0,1000,12184,6076,915,49212.015625,0.018593
10,1000,0.5,0.2,50.0,1000,12869,6404,887,50382.679688,0.017605
