Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,15734,3156,317,49322.785156,0.006427
2,1000,0.8,0.2,50.0,1000,16071,3203,313,50139.140625,0.006243
3,1000,0.8,0.2,50.0,1000,15765,3103,294,49226.125000,0.005972
4,1000,0.8,0.2,50.0,1000,15507,3206,358,51106.621094,0.007005
5,1000,0.8,0.2,50.0,1000,15959,3159,314,49992.593750,0.006281
6,1000,0.8,0.2,50.0,1000,14372,2956,284,49946.804688,0.005686
7,1000,0.8,0.2,50.0,1000,16153,3129,287,50177.519531,0.005720
8,1000,0.8,0.2,50.0,1000,16491,3366,327,51694.746094,0.006326
9,1000,0.8,0.2,50.0,1000,15751,3200,288,49407.664062,0.005829
10,1000,0.8,0.2,50.0,1000,15660,3153,305,49251.554688,0.006193
