Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,154523,9149,130,51302.503906,0.002534
2,1000,0.8,0.2,50.0,1000,156198,9115,94,51027.628906,0.001842
3,1000,0.8,0.2,50.0,1000,152606,8962,91,50007.839844,0.001820
4,1000,0.8,0.2,50.0,1000,150213,8727,89,49005.417969,0.001816
5,1000,0.8,0.2,50.0,1000,152374,8999,118,50965.660156,0.002315
6,1000,0.8,0.2,50.0,1000,149467,8928,101,50033.398438,0.002019
7,1000,0.8,0.2,50.0,1000,152430,8955,112,50266.804688,0.002228
8,1000,0.8,0.2,50.0,1000,151810,8854,87,49876.320312,0.001744
9,1000,0.8,0.2,50.0,1000,153689,8968,110,50718.726562,0.002169
10,1000,0.8,0.2,50.0,1000,157430,9140,84,51319.597656,0.001637
