Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,116125,8067,341,49303.253906,0.006916
2,1000,0.5,0.2,50.0,1000,146825,9205,195,50950.925781,0.003827
3,1000,0.5,0.2,50.0,1000,142257,8789,182,48895.015625,0.003722
4,1000,0.5,0.2,50.0,1000,132649,8706,296,50762.250000,0.005831
5,1000,0.5,0.2,50.0,1000,141705,8874,200,49777.023438,0.004018
6,1000,0.5,0.2,50.0,1000,137181,8976,249,51014.753906,0.004881
7,1000,0.5,0.2,50.0,1000,142820,8880,181,49624.480469,0.003647
8,1000,0.5,0.2,50.0,1000,115112,8089,367,49030.019531,0.007485
9,1000,0.5,0.2,50.0,1000,106161,7766,405,49420.011719,0.008195
10,1000,0.5,0.2,50.0,1000,134458,8768,247,50627.289062,0.004879
