Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,63523,8254,303,50243.921875,0.006031
2,1000,0.5,0.2,50.0,1000,78764,9315,170,51711.484375,0.003287
3,1000,0.5,0.2,50.0,1000,76026,8995,150,49996.531250,0.003000
4,1000,0.5,0.2,50.0,1000,65665,8121,252,47653.792969,0.005288
5,1000,0.5,0.2,50.0,1000,73919,8923,168,49990.996094,0.003361
6,1000,0.5,0.2,50.0,1000,71800,8957,217,50843.046875,0.004268
7,1000,0.5,0.2,50.0,1000,76644,9213,155,51420.449219,0.003014
8,1000,0.5,0.2,50.0,1000,63053,8254,332,50027.652344,0.006636
9,1000,0.5,0.2,50.0,1000,59787,8005,378,50728.175781,0.007451
10,1000,0.5,0.2,50.0,1000,70795,8797,225,50735.007812,0.004435
