Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,276115,8728,100,48948.664062,0.002043
2,1000,0.8,0.2,50.0,1000,280191,8628,72,48408.265625,0.001487
3,1000,0.8,0.2,50.0,1000,283592,8869,74,49444.542969,0.001497
4,1000,0.8,0.2,50.0,1000,282162,8732,82,48980.511719,0.001674
5,1000,0.8,0.2,50.0,1000,288334,9136,99,51726.929688,0.001914
6,1000,0.8,0.2,50.0,1000,284581,9021,96,50528.691406,0.001900
7,1000,0.8,0.2,50.0,1000,283348,8792,81,49385.437500,0.001640
8,1000,0.8,0.2,50.0,1000,283855,8786,78,49570.597656,0.001574
9,1000,0.8,0.2,50.0,1000,286297,8905,85,50323.093750,0.001689
10,1000,0.8,0.2,50.0,1000,289783,8848,57,49873.289062,0.001143
