Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,77582,8919,162,50126.023438,0.003232
2,1000,0.8,0.2,50.0,1000,76562,8758,155,49072.339844,0.003159
3,1000,0.8,0.2,50.0,1000,76671,8843,148,49357.281250,0.002999
4,1000,0.8,0.2,50.0,1000,76179,8711,134,48806.222656,0.002746
5,1000,0.8,0.2,50.0,1000,75318,8692,157,49204.906250,0.003191
6,1000,0.8,0.2,50.0,1000,75884,8965,165,50325.816406,0.003279
7,1000,0.8,0.2,50.0,1000,76707,8870,165,49789.898438,0.003314
8,1000,0.8,0.2,50.0,1000,76925,8816,138,49732.921875,0.002775
9,1000,0.8,0.2,50.0,1000,75748,8736,171,49467.644531,0.003457
10,1000,0.8,0.2,50.0,1000,76523,8710,149,49179.242188,0.003030
