Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,579020,8985,96,50431.828125,0.001904
2,1000,0.8,0.2,50.0,1000,586701,8791,71,49341.843750,0.001439
3,1000,0.8,0.2,50.0,1000,612365,9248,75,51568.949219,0.001454
4,1000,0.8,0.2,50.0,1000,605825,9108,79,50942.179688,0.001551
5,1000,0.8,0.2,50.0,1000,561926,8962,101,50804.667969,0.001988
6,1000,0.8,0.2,50.0,1000,570781,8956,94,50180.218750,0.001873
7,1000,0.8,0.2,50.0,1000,584298,8903,85,50015.222656,0.001699
8,1000,0.8,0.2,50.0,1000,572299,8704,82,49124.656250,0.001669
9,1000,0.8,0.2,50.0,1000,585512,8953,83,50577.210938,0.001641
10,1000,0.8,0.2,50.0,1000,561652,8432,56,47579.433594,0.001177
