Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50.0,1000,9710,3923,996,50308.839844,0.019798
2,1000,0.6,0.2,50.0,1000,10048,3907,997,50673.441406,0.019675
3,1000,0.6,0.2,50.0,1000,9893,3970,999,48948.863281,0.020409
4,1000,0.6,0.2,50.0,1000,9379,3789,989,49939.703125,0.019804
5,1000,0.6,0.2,50.0,1000,3829,1554,357,49547.894531,0.007205
6,1000,0.6,0.2,50.0,1000,3407,1400,313,49578.574219,0.006313
7,1000,0.6,0.2,50.0,1000,9699,3821,999,50017.328125,0.019973
8,1000,0.6,0.2,50.0,1000,6122,2429,614,50777.882812,0.012092
9,1000,0.6,0.2,50.0,1000,9577,3720,995,51515.273438,0.019315
10,1000,0.6,0.2,50.0,1000,9833,3980,999,50090.304688,0.019944
