Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50.0,1000,136,50,14,50951.406250,0.000275
2,1000,0.6,0.2,50.0,1000,236,96,21,49259.082031,0.000426
3,1000,0.6,0.2,50.0,1000,221,79,14,50504.039062,0.000277
4,1000,0.6,0.2,50.0,1000,190,66,10,50237.402344,0.000199
5,1000,0.6,0.2,50.0,1000,128,56,12,49412.195312,0.000243
6,1000,0.6,0.2,50.0,1000,94,47,14,49894.308594,0.000281
7,1000,0.6,0.2,50.0,1000,149,62,13,48991.820312,0.000265
8,1000,0.6,0.2,50.0,1000,76,39,11,49738.242188,0.000221
9,1000,0.6,0.2,50.0,1000,196,76,22,48441.218750,0.000454
10,1000,0.6,0.2,50.0,1000,167,52,11,50406.710938,0.000218
