Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50.0,1000,538,329,113,51609.585938,0.002190
2,1000,0.4,0.2,50.0,1000,191,110,32,49317.066406,0.000649
3,1000,0.4,0.2,50.0,1000,802,484,179,50940.238281,0.003514
4,1000,0.4,0.2,50.0,1000,171,92,33,51317.531250,0.000643
5,1000,0.4,0.2,50.0,1000,209,124,43,50467.484375,0.000852
6,1000,0.4,0.2,50.0,1000,152,79,35,49766.820312,0.000703
7,1000,0.4,0.2,50.0,1000,64,41,17,49078.242188,0.000346
8,1000,0.4,0.2,50.0,1000,687,423,155,50914.410156,0.003044
9,1000,0.4,0.2,50.0,1000,368,205,70,49541.871094,0.001413
10,1000,0.4,0.2,50.0,1000,478,275,87,51058.371094,0.001704
