Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,1548,1239,643,49284.925781,0.013047
2,1000,0.2,0.2,50.0,1000,2472,1976,999,49029.429688,0.020376
3,1000,0.2,0.2,50.0,1000,1603,1279,638,49491.445312,0.012891
4,1000,0.2,0.2,50.0,1000,2463,1984,999,50340.089844,0.019845
5,1000,0.2,0.2,50.0,1000,2399,1927,999,50292.750000,0.019864
6,1000,0.2,0.2,50.0,1000,2437,1933,999,51355.421875,0.019453
7,1000,0.2,0.2,50.0,1000,2484,1980,998,49181.957031,0.020292
8,1000,0.2,0.2,50.0,1000,2361,1909,999,51181.753906,0.019519
9,1000,0.2,0.2,50.0,1000,2570,2034,999,49048.558594,0.020368
10,1000,0.2,0.2,50.0,1000,2403,1911,998,49857.546875,0.020017
