Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50.0,1000,4377,2627,998,49880.003906,0.020008
2,1000,0.4,0.2,50.0,1000,4547,2718,998,50134.609375,0.019906
3,1000,0.4,0.2,50.0,1000,4386,2592,998,49132.343750,0.020312
4,1000,0.4,0.2,50.0,1000,4320,2630,997,50933.781250,0.019574
5,1000,0.4,0.2,50.0,1000,4313,2607,997,49532.476562,0.020128
6,1000,0.4,0.2,50.0,1000,4267,2575,999,51264.468750,0.019487
7,1000,0.4,0.2,50.0,1000,4367,2594,997,49664.246094,0.020075
8,1000,0.4,0.2,50.0,1000,4166,2502,997,51191.128906,0.019476
9,1000,0.4,0.2,50.0,1000,4416,2684,999,50019.476562,0.019972
10,1000,0.4,0.2,50.0,1000,4282,2596,998,49208.023438,0.020281
