Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50.0,1000,1467,876,347,50800.269531,0.006831
2,1000,0.4,0.2,50.0,1000,1475,877,320,50334.437500,0.006357
3,1000,0.4,0.2,50.0,1000,1477,879,346,50456.699219,0.006857
4,1000,0.4,0.2,50.0,1000,1486,902,364,51097.796875,0.007124
5,1000,0.4,0.2,50.0,1000,1414,844,345,48690.226562,0.007086
6,1000,0.4,0.2,50.0,1000,1442,873,342,50269.558594,0.006803
7,1000,0.4,0.2,50.0,1000,1469,890,324,49918.222656,0.006491
8,1000,0.4,0.2,50.0,1000,1461,886,345,49980.496094,0.006903
9,1000,0.4,0.2,50.0,1000,1468,873,336,50052.039062,0.006713
10,1000,0.4,0.2,50.0,1000,1487,887,333,49630.757812,0.006710
