Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50.0,1000,1214,1103,658,49527.339844,0.013286
2,1000,0.1,0.2,50.0,1000,1233,1099,621,50520.605469,0.012292
3,1000,0.1,0.2,50.0,1000,1286,1144,640,51490.660156,0.012429
4,1000,0.1,0.2,50.0,1000,1223,1096,646,50356.828125,0.012828
5,1000,0.1,0.2,50.0,1000,1208,1084,656,50627.449219,0.012957
6,1000,0.1,0.2,50.0,1000,1254,1131,634,50058.589844,0.012665
7,1000,0.1,0.2,50.0,1000,1223,1092,632,49479.011719,0.012773
8,1000,0.1,0.2,50.0,1000,1241,1118,648,50694.203125,0.012783
9,1000,0.1,0.2,50.0,1000,1237,1117,625,49364.558594,0.012661
10,1000,0.1,0.2,50.0,1000,1209,1114,637,49412.164062,0.012892
