Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,1353,1074,550,50608.726562,0.010868
2,1000,0.2,0.2,50.0,1000,1310,1029,522,49591.824219,0.010526
3,1000,0.2,0.2,50.0,1000,1308,1047,542,49454.183594,0.010960
4,1000,0.2,0.2,50.0,1000,1326,1059,556,50799.937500,0.010945
5,1000,0.2,0.2,50.0,1000,1311,1066,576,51051.687500,0.011283
6,1000,0.2,0.2,50.0,1000,1306,1060,545,49327.957031,0.011049
7,1000,0.2,0.2,50.0,1000,1313,1038,533,49381.652344,0.010793
8,1000,0.2,0.2,50.0,1000,1313,1065,543,50129.851562,0.010832
9,1000,0.2,0.2,50.0,1000,1326,1052,547,50549.277344,0.010821
10,1000,0.2,0.2,50.0,1000,1356,1070,533,50293.203125,0.010598
